id,source,source_index,alteration,file_stem,image_path,description_path,annotation_path
78,google,150,original,google_150_original,images/google_150_original.png,descriptions/google_150_original.json,annotations/google_150_original.json
79,gdc,118,layout,gdc_118_layout,images/gdc_118_layout.png,descriptions/gdc_118_layout.json,annotations/gdc_118_layout.json
80,gemini,63,typography,gemini_063_typography,images/gemini_063_typography.png,descriptions/gemini_063_typography.json,annotations/gemini_063_typography.json
81,gemini,125,layout,gemini_125_layout,images/gemini_125_layout.png,descriptions/gemini_125_layout.json,annotations/gemini_125_layout.json
82,google,121,original,google_121_original,images/google_121_original.png,descriptions/google_121_original.json,annotations/google_121_original.json
83,gdc,38,original,gdc_038_original,images/gdc_038_original.png,descriptions/gdc_038_original.json,annotations/gdc_038_original.json
84,gemini,140,alignment,gemini_140_alignment,images/gemini_140_alignment.png,descriptions/gemini_140_alignment.json,annotations/gemini_140_alignment.json
85,google,189,original,google_189_original,images/google_189_original.png,descriptions/google_189_original.json,annotations/google_189_original.json
86,google,170,original,google_170_original,images/google_170_original.png,descriptions/google_170_original.json,annotations/google_170_original.json
87,gdc,115,layout,gdc_115_layout,images/gdc_115_layout.png,descriptions/gdc_115_layout.json,annotations/gdc_115_layout.json
88,gdc,49,layout,gdc_049_layout,images/gdc_049_layout.png,descriptions/gdc_049_layout.json,annotations/gdc_049_layout.json
89,gdc,123,original,gdc_123_original,images/gdc_123_original.png,descriptions/gdc_123_original.json,annotations/gdc_123_original.json
90,gemini,58,alignment,gemini_058_alignment,images/gemini_058_alignment.png,descriptions/gemini_058_alignment.json,annotations/gemini_058_alignment.json
91,gemini,195,typography,gemini_195_typography,images/gemini_195_typography.png,descriptions/gemini_195_typography.json,annotations/gemini_195_typography.json
92,gdc,141,layout,gdc_141_layout,images/gdc_141_layout.png,descriptions/gdc_141_layout.json,annotations/gdc_141_layout.json
93,gdc,137,original,gdc_137_original,images/gdc_137_original.png,descriptions/gdc_137_original.json,annotations/gdc_137_original.json
94,gemini,24,layout,gemini_024_layout,images/gemini_024_layout.png,descriptions/gemini_024_layout.json,annotations/gemini_024_layout.json
95,gemini,93,typography,gemini_093_typography,images/gemini_093_typography.png,descriptions/gemini_093_typography.json,annotations/gemini_093_typography.json
96,gdc,153,layout,gdc_153_layout,images/gdc_153_layout.png,descriptions/gdc_153_layout.json,annotations/gdc_153_layout.json
97,google,85,original,google_085_original,images/google_085_original.png,descriptions/google_085_original.json,annotations/google_085_original.json
98,google,37,layout,google_037_layout,images/google_037_layout.png,descriptions/google_037_layout.json,annotations/google_037_layout.json
99,gemini,135,layout,gemini_135_layout,images/gemini_135_layout.png,descriptions/gemini_135_layout.json,annotations/gemini_135_layout.json
100,google,190,typography,google_190_typography,images/google_190_typography.png,descriptions/google_190_typography.json,annotations/google_190_typography.json
101,gemini,172,layout,gemini_172_layout,images/gemini_172_layout.png,descriptions/gemini_172_layout.json,annotations/gemini_172_layout.json
102,gdc,117,typography,gdc_117_typography,images/gdc_117_typography.png,descriptions/gdc_117_typography.json,annotations/gdc_117_typography.json
103,gdc,163,alignment,gdc_163_alignment,images/gdc_163_alignment.png,descriptions/gdc_163_alignment.json,annotations/gdc_163_alignment.json
104,gdc,57,original,gdc_057_original,images/gdc_057_original.png,descriptions/gdc_057_original.json,annotations/gdc_057_original.json
105,gdc,64,typography,gdc_064_typography,images/gdc_064_typography.png,descriptions/gdc_064_typography.json,annotations/gdc_064_typography.json
106,gemini,178,typography,gemini_178_typography,images/gemini_178_typography.png,descriptions/gemini_178_typography.json,annotations/gemini_178_typography.json
107,gdc,22,typography,gdc_022_typography,images/gdc_022_typography.png,descriptions/gdc_022_typography.json,annotations/gdc_022_typography.json
108,google,179,original,google_179_original,images/google_179_original.png,descriptions/google_179_original.json,annotations/google_179_original.json
109,google,147,alignment,google_147_alignment,images/google_147_alignment.png,descriptions/google_147_alignment.json,annotations/google_147_alignment.json
110,gemini,7,original,gemini_007_original,images/gemini_007_original.png,descriptions/gemini_007_original.json,annotations/gemini_007_original.json
111,gdc,2,alignment,gdc_002_alignment,images/gdc_002_alignment.png,descriptions/gdc_002_alignment.json,annotations/gdc_002_alignment.json
112,google,172,layout,google_172_layout,images/google_172_layout.png,descriptions/google_172_layout.json,annotations/google_172_layout.json
113,gdc,176,alignment,gdc_176_alignment,images/gdc_176_alignment.png,descriptions/gdc_176_alignment.json,annotations/gdc_176_alignment.json
114,gemini,148,typography,gemini_148_typography,images/gemini_148_typography.png,descriptions/gemini_148_typography.json,annotations/gemini_148_typography.json
115,google,144,original,google_144_original,images/google_144_original.png,descriptions/google_144_original.json,annotations/google_144_original.json
116,gemini,69,typography,gemini_069_typography,images/gemini_069_typography.png,descriptions/gemini_069_typography.json,annotations/gemini_069_typography.json
117,gemini,94,layout,gemini_094_layout,images/gemini_094_layout.png,descriptions/gemini_094_layout.json,annotations/gemini_094_layout.json
118,google,181,layout,google_181_layout,images/google_181_layout.png,descriptions/google_181_layout.json,annotations/google_181_layout.json
119,gdc,163,layout,gdc_163_layout,images/gdc_163_layout.png,descriptions/gdc_163_layout.json,annotations/gdc_163_layout.json
120,gemini,175,original,gemini_175_original,images/gemini_175_original.png,descriptions/gemini_175_original.json,annotations/gemini_175_original.json
121,gdc,66,original,gdc_066_original,images/gdc_066_original.png,descriptions/gdc_066_original.json,annotations/gdc_066_original.json
122,gemini,73,alignment,gemini_073_alignment,images/gemini_073_alignment.png,descriptions/gemini_073_alignment.json,annotations/gemini_073_alignment.json
123,gemini,79,alignment,gemini_079_alignment,images/gemini_079_alignment.png,descriptions/gemini_079_alignment.json,annotations/gemini_079_alignment.json
124,gdc,8,layout,gdc_008_layout,images/gdc_008_layout.png,descriptions/gdc_008_layout.json,annotations/gdc_008_layout.json
125,gemini,31,alignment,gemini_031_alignment,images/gemini_031_alignment.png,descriptions/gemini_031_alignment.json,annotations/gemini_031_alignment.json
126,google,58,original,google_058_original,images/google_058_original.png,descriptions/google_058_original.json,annotations/google_058_original.json
127,gemini,163,layout,gemini_163_layout,images/gemini_163_layout.png,descriptions/gemini_163_layout.json,annotations/gemini_163_layout.json
128,google,146,typography,google_146_typography,images/google_146_typography.png,descriptions/google_146_typography.json,annotations/google_146_typography.json
129,google,84,layout,google_084_layout,images/google_084_layout.png,descriptions/google_084_layout.json,annotations/google_084_layout.json
130,google,29,alignment,google_029_alignment,images/google_029_alignment.png,descriptions/google_029_alignment.json,annotations/google_029_alignment.json
131,gdc,68,layout,gdc_068_layout,images/gdc_068_layout.png,descriptions/gdc_068_layout.json,annotations/gdc_068_layout.json
132,gdc,85,original,gdc_085_original,images/gdc_085_original.png,descriptions/gdc_085_original.json,annotations/gdc_085_original.json
133,google,191,typography,google_191_typography,images/google_191_typography.png,descriptions/google_191_typography.json,annotations/google_191_typography.json
134,gemini,98,typography,gemini_098_typography,images/gemini_098_typography.png,descriptions/gemini_098_typography.json,annotations/gemini_098_typography.json
135,gemini,169,typography,gemini_169_typography,images/gemini_169_typography.png,descriptions/gemini_169_typography.json,annotations/gemini_169_typography.json
136,gemini,51,typography,gemini_051_typography,images/gemini_051_typography.png,descriptions/gemini_051_typography.json,annotations/gemini_051_typography.json
137,gemini,183,typography,gemini_183_typography,images/gemini_183_typography.png,descriptions/gemini_183_typography.json,annotations/gemini_183_typography.json
138,gemini,24,original,gemini_024_original,images/gemini_024_original.png,descriptions/gemini_024_original.json,annotations/gemini_024_original.json
139,gemini,160,alignment,gemini_160_alignment,images/gemini_160_alignment.png,descriptions/gemini_160_alignment.json,annotations/gemini_160_alignment.json
140,gemini,28,alignment,gemini_028_alignment,images/gemini_028_alignment.png,descriptions/gemini_028_alignment.json,annotations/gemini_028_alignment.json
141,gemini,25,typography,gemini_025_typography,images/gemini_025_typography.png,descriptions/gemini_025_typography.json,annotations/gemini_025_typography.json
142,google,61,original,google_061_original,images/google_061_original.png,descriptions/google_061_original.json,annotations/google_061_original.json
143,gdc,171,layout,gdc_171_layout,images/gdc_171_layout.png,descriptions/gdc_171_layout.json,annotations/gdc_171_layout.json
144,gemini,31,layout,gemini_031_layout,images/gemini_031_layout.png,descriptions/gemini_031_layout.json,annotations/gemini_031_layout.json
145,gemini,187,typography,gemini_187_typography,images/gemini_187_typography.png,descriptions/gemini_187_typography.json,annotations/gemini_187_typography.json
146,gdc,54,typography,gdc_054_typography,images/gdc_054_typography.png,descriptions/gdc_054_typography.json,annotations/gdc_054_typography.json
147,gdc,85,typography,gdc_085_typography,images/gdc_085_typography.png,descriptions/gdc_085_typography.json,annotations/gdc_085_typography.json
148,gdc,141,typography,gdc_141_typography,images/gdc_141_typography.png,descriptions/gdc_141_typography.json,annotations/gdc_141_typography.json
149,gdc,177,layout,gdc_177_layout,images/gdc_177_layout.png,descriptions/gdc_177_layout.json,annotations/gdc_177_layout.json
150,gemini,74,layout,gemini_074_layout,images/gemini_074_layout.png,descriptions/gemini_074_layout.json,annotations/gemini_074_layout.json
151,gemini,120,layout,gemini_120_layout,images/gemini_120_layout.png,descriptions/gemini_120_layout.json,annotations/gemini_120_layout.json
152,gdc,56,typography,gdc_056_typography,images/gdc_056_typography.png,descriptions/gdc_056_typography.json,annotations/gdc_056_typography.json
153,google,151,layout,google_151_layout,images/google_151_layout.png,descriptions/google_151_layout.json,annotations/google_151_layout.json
154,gdc,44,layout,gdc_044_layout,images/gdc_044_layout.png,descriptions/gdc_044_layout.json,annotations/gdc_044_layout.json
155,gemini,34,layout,gemini_034_layout,images/gemini_034_layout.png,descriptions/gemini_034_layout.json,annotations/gemini_034_layout.json
156,gemini,100,typography,gemini_100_typography,images/gemini_100_typography.png,descriptions/gemini_100_typography.json,annotations/gemini_100_typography.json
157,gdc,69,layout,gdc_069_layout,images/gdc_069_layout.png,descriptions/gdc_069_layout.json,annotations/gdc_069_layout.json
158,gdc,97,layout,gdc_097_layout,images/gdc_097_layout.png,descriptions/gdc_097_layout.json,annotations/gdc_097_layout.json
159,gdc,159,original,gdc_159_original,images/gdc_159_original.png,descriptions/gdc_159_original.json,annotations/gdc_159_original.json
160,gdc,76,typography,gdc_076_typography,images/gdc_076_typography.png,descriptions/gdc_076_typography.json,annotations/gdc_076_typography.json
161,gdc,194,layout,gdc_194_layout,images/gdc_194_layout.png,descriptions/gdc_194_layout.json,annotations/gdc_194_layout.json
162,gdc,85,alignment,gdc_085_alignment,images/gdc_085_alignment.png,descriptions/gdc_085_alignment.json,annotations/gdc_085_alignment.json
163,gdc,27,typography,gdc_027_typography,images/gdc_027_typography.png,descriptions/gdc_027_typography.json,annotations/gdc_027_typography.json
164,google,100,alignment,google_100_alignment,images/google_100_alignment.png,descriptions/google_100_alignment.json,annotations/google_100_alignment.json
165,gdc,60,typography,gdc_060_typography,images/gdc_060_typography.png,descriptions/gdc_060_typography.json,annotations/gdc_060_typography.json
166,gdc,121,original,gdc_121_original,images/gdc_121_original.png,descriptions/gdc_121_original.json,annotations/gdc_121_original.json
167,google,13,layout,google_013_layout,images/google_013_layout.png,descriptions/google_013_layout.json,annotations/google_013_layout.json
168,gdc,93,alignment,gdc_093_alignment,images/gdc_093_alignment.png,descriptions/gdc_093_alignment.json,annotations/gdc_093_alignment.json
169,google,72,alignment,google_072_alignment,images/google_072_alignment.png,descriptions/google_072_alignment.json,annotations/google_072_alignment.json
170,google,170,layout,google_170_layout,images/google_170_layout.png,descriptions/google_170_layout.json,annotations/google_170_layout.json
171,gemini,68,layout,gemini_068_layout,images/gemini_068_layout.png,descriptions/gemini_068_layout.json,annotations/gemini_068_layout.json
172,gdc,138,layout,gdc_138_layout,images/gdc_138_layout.png,descriptions/gdc_138_layout.json,annotations/gdc_138_layout.json
173,gemini,14,layout,gemini_014_layout,images/gemini_014_layout.png,descriptions/gemini_014_layout.json,annotations/gemini_014_layout.json
174,gdc,140,layout,gdc_140_layout,images/gdc_140_layout.png,descriptions/gdc_140_layout.json,annotations/gdc_140_layout.json
175,gdc,70,original,gdc_070_original,images/gdc_070_original.png,descriptions/gdc_070_original.json,annotations/gdc_070_original.json
176,gdc,200,typography,gdc_200_typography,images/gdc_200_typography.png,descriptions/gdc_200_typography.json,annotations/gdc_200_typography.json
177,google,197,layout,google_197_layout,images/google_197_layout.png,descriptions/google_197_layout.json,annotations/google_197_layout.json
178,gdc,11,typography,gdc_011_typography,images/gdc_011_typography.png,descriptions/gdc_011_typography.json,annotations/gdc_011_typography.json
179,gemini,62,original,gemini_062_original,images/gemini_062_original.png,descriptions/gemini_062_original.json,annotations/gemini_062_original.json
180,google,150,typography,google_150_typography,images/google_150_typography.png,descriptions/google_150_typography.json,annotations/google_150_typography.json
181,gemini,42,alignment,gemini_042_alignment,images/gemini_042_alignment.png,descriptions/gemini_042_alignment.json,annotations/gemini_042_alignment.json
182,gemini,133,original,gemini_133_original,images/gemini_133_original.png,descriptions/gemini_133_original.json,annotations/gemini_133_original.json
183,gemini,162,original,gemini_162_original,images/gemini_162_original.png,descriptions/gemini_162_original.json,annotations/gemini_162_original.json
184,gemini,3,layout,gemini_003_layout,images/gemini_003_layout.png,descriptions/gemini_003_layout.json,annotations/gemini_003_layout.json
185,gemini,179,layout,gemini_179_layout,images/gemini_179_layout.png,descriptions/gemini_179_layout.json,annotations/gemini_179_layout.json
186,google,50,alignment,google_050_alignment,images/google_050_alignment.png,descriptions/google_050_alignment.json,annotations/google_050_alignment.json
187,gdc,45,original,gdc_045_original,images/gdc_045_original.png,descriptions/gdc_045_original.json,annotations/gdc_045_original.json
188,gemini,78,original,gemini_078_original,images/gemini_078_original.png,descriptions/gemini_078_original.json,annotations/gemini_078_original.json
189,google,31,original,google_031_original,images/google_031_original.png,descriptions/google_031_original.json,annotations/google_031_original.json
190,google,54,original,google_054_original,images/google_054_original.png,descriptions/google_054_original.json,annotations/google_054_original.json
191,gemini,4,alignment,gemini_004_alignment,images/gemini_004_alignment.png,descriptions/gemini_004_alignment.json,annotations/gemini_004_alignment.json
192,google,64,original,google_064_original,images/google_064_original.png,descriptions/google_064_original.json,annotations/google_064_original.json
193,gemini,41,original,gemini_041_original,images/gemini_041_original.png,descriptions/gemini_041_original.json,annotations/gemini_041_original.json
194,gemini,85,original,gemini_085_original,images/gemini_085_original.png,descriptions/gemini_085_original.json,annotations/gemini_085_original.json
195,gdc,167,alignment,gdc_167_alignment,images/gdc_167_alignment.png,descriptions/gdc_167_alignment.json,annotations/gdc_167_alignment.json
196,gdc,144,alignment,gdc_144_alignment,images/gdc_144_alignment.png,descriptions/gdc_144_alignment.json,annotations/gdc_144_alignment.json
197,gemini,163,original,gemini_163_original,images/gemini_163_original.png,descriptions/gemini_163_original.json,annotations/gemini_163_original.json
198,gdc,28,typography,gdc_028_typography,images/gdc_028_typography.png,descriptions/gdc_028_typography.json,annotations/gdc_028_typography.json
199,gemini,2,layout,gemini_002_layout,images/gemini_002_layout.png,descriptions/gemini_002_layout.json,annotations/gemini_002_layout.json
200,gemini,13,layout,gemini_013_layout,images/gemini_013_layout.png,descriptions/gemini_013_layout.json,annotations/gemini_013_layout.json
201,google,192,original,google_192_original,images/google_192_original.png,descriptions/google_192_original.json,annotations/google_192_original.json
202,google,157,alignment,google_157_alignment,images/google_157_alignment.png,descriptions/google_157_alignment.json,annotations/google_157_alignment.json
203,gemini,116,layout,gemini_116_layout,images/gemini_116_layout.png,descriptions/gemini_116_layout.json,annotations/gemini_116_layout.json
204,gemini,142,typography,gemini_142_typography,images/gemini_142_typography.png,descriptions/gemini_142_typography.json,annotations/gemini_142_typography.json
205,gemini,159,original,gemini_159_original,images/gemini_159_original.png,descriptions/gemini_159_original.json,annotations/gemini_159_original.json
206,google,99,typography,google_099_typography,images/google_099_typography.png,descriptions/google_099_typography.json,annotations/google_099_typography.json
207,gdc,40,typography,gdc_040_typography,images/gdc_040_typography.png,descriptions/gdc_040_typography.json,annotations/gdc_040_typography.json
208,gdc,87,layout,gdc_087_layout,images/gdc_087_layout.png,descriptions/gdc_087_layout.json,annotations/gdc_087_layout.json
209,gemini,113,original,gemini_113_original,images/gemini_113_original.png,descriptions/gemini_113_original.json,annotations/gemini_113_original.json
210,google,24,alignment,google_024_alignment,images/google_024_alignment.png,descriptions/google_024_alignment.json,annotations/google_024_alignment.json
211,google,72,typography,google_072_typography,images/google_072_typography.png,descriptions/google_072_typography.json,annotations/google_072_typography.json
212,gemini,66,original,gemini_066_original,images/gemini_066_original.png,descriptions/gemini_066_original.json,annotations/gemini_066_original.json
213,gdc,116,typography,gdc_116_typography,images/gdc_116_typography.png,descriptions/gdc_116_typography.json,annotations/gdc_116_typography.json
214,gemini,59,typography,gemini_059_typography,images/gemini_059_typography.png,descriptions/gemini_059_typography.json,annotations/gemini_059_typography.json
215,gdc,138,alignment,gdc_138_alignment,images/gdc_138_alignment.png,descriptions/gdc_138_alignment.json,annotations/gdc_138_alignment.json
216,google,119,typography,google_119_typography,images/google_119_typography.png,descriptions/google_119_typography.json,annotations/google_119_typography.json
217,gemini,119,original,gemini_119_original,images/gemini_119_original.png,descriptions/gemini_119_original.json,annotations/gemini_119_original.json
218,gemini,157,original,gemini_157_original,images/gemini_157_original.png,descriptions/gemini_157_original.json,annotations/gemini_157_original.json
219,google,45,original,google_045_original,images/google_045_original.png,descriptions/google_045_original.json,annotations/google_045_original.json
220,google,11,layout,google_011_layout,images/google_011_layout.png,descriptions/google_011_layout.json,annotations/google_011_layout.json
221,gdc,84,original,gdc_084_original,images/gdc_084_original.png,descriptions/gdc_084_original.json,annotations/gdc_084_original.json
222,google,143,alignment,google_143_alignment,images/google_143_alignment.png,descriptions/google_143_alignment.json,annotations/google_143_alignment.json
223,google,87,alignment,google_087_alignment,images/google_087_alignment.png,descriptions/google_087_alignment.json,annotations/google_087_alignment.json
224,gemini,77,typography,gemini_077_typography,images/gemini_077_typography.png,descriptions/gemini_077_typography.json,annotations/gemini_077_typography.json
225,gemini,72,alignment,gemini_072_alignment,images/gemini_072_alignment.png,descriptions/gemini_072_alignment.json,annotations/gemini_072_alignment.json
226,google,63,alignment,google_063_alignment,images/google_063_alignment.png,descriptions/google_063_alignment.json,annotations/google_063_alignment.json
227,google,39,original,google_039_original,images/google_039_original.png,descriptions/google_039_original.json,annotations/google_039_original.json
228,gdc,179,alignment,gdc_179_alignment,images/gdc_179_alignment.png,descriptions/gdc_179_alignment.json,annotations/gdc_179_alignment.json
229,gemini,43,typography,gemini_043_typography,images/gemini_043_typography.png,descriptions/gemini_043_typography.json,annotations/gemini_043_typography.json
